Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
Megan Parris[11],25,6,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Shannon Bair[12],29,6,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Nikki Kaapke[13],29,9,13,0.0,Yes,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Erica DeSimone,25,10,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Kari Fajen[14],27,10,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Natalie Getz[15],27,12,13,2.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Raquel Medeiros[16],27,13,13,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Sharon Staebell[17],32,13,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Lisa Gonzalez[18],28,15,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Ann Lueders,24,16,13,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
Dominique Carta,26,16,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Emily,23,16,13,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Jackie Hickley,26,16,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Julie Dermotta,26,16,13,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Nicole Mah,25,16,13,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Renee Simlak,36,16,13,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Shelby,23,16,13,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Stacia Mann,24,16,13,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Treasure Morgan,28,16,13,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Vienna Girardi[1][2],23,1,14,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Tenley Molzahn[1][3],25,2,14,4.0,Yes,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Gia Allemand[1][4],26,3,14,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
