Name,Age,Place,Season ,1-on-1 week,FIR?,FIR,INTERNATIONAL,NE,NW,SE,SW,Race_0,Race_1,Race_2,Race_3,Race_4,CORPORATE,OTHER,POLITICS,TRADES,TRADITIONAL
Caila Quinn[12],24,3,20,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Amanda Stanton[11][14],25,4,20,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Becca Tilley[16],26,5,20,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Emily Ferguson[a][11],23,6,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Lauren Himle[18],25,7,20,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Olivia Caridi[5][11],23,8,20,0.0,Yes,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Leah Block[20],25,9,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Jennifer Saviano[21],25,10,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Jubilee Sharpe[11],24,11,20,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Amber James[23],30,12,20,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Rachel Tchen[25],23,12,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Haley Ferguson[a][11],23,14,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Jami Letain[26],23,15,20,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Shushanna Mkrtychyan[28],27,15,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Lace Morris[20],25,17,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Amanda ""Mandi"" Kremer[29]",28,18,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
"Jacqueline ""Jackie"" Dion[31]",23,18,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Samantha Passmore[32],26,18,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"Lauren ""LB"" Barr[33]",23,21,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Breanne Rice[34],30,22,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Isabel ""Izzy"" Goodkind[36]",24,22,20,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jessica Moser[37],23,22,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Laura Esselman[38],24,22,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Lauren Russell[39],26,22,20,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Maegan Miller[39],30,22,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Tiara Soleim[40],27,22,20,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Vanessa Grimaldi[9],29,1,21,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Raven Gates[11][12],25,2,21,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Rachel Lindsay[11],31,3,21,4.0,Yes,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Corinne Olympios[11][14],24,4,21,4.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Kristina Schulman[16],24,5,21,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Danielle Maltby[18],31,6,21,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Danielle Lombard[12][19],27,7,21,3.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Whitney Fransway[21],25,8,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jasmine Goode[22],29,9,21,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Alexis Waters[11][23],23,10,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Jaimi King[24],28,10,21,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Josephine Tutman[22],24,10,21,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Taylor Nolan[25],23,13,21,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Astrid Loch[27],26,14,21,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Sarah Vendal[19],26,14,21,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Brittany Farrar[19],26,16,21,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Christen Whitney[29][30],25,16,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Dominique Alexis[19],25,18,21,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Elizabeth Whitelaw[32],24,19,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Hailey Merkt[33],23,19,21,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Lacey Mark[34],25,19,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Elizabeth ""Liz"" Sandoz[11]",29,19,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Angela Amezcua[36],26,23,21,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Briana Guertler[38],28,23,21,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Ida Marie DeLosSantos[39],23,23,21,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Jasmine Brown[40],25,23,21,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Lauren Hussey[41],30,23,21,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Michelle Ramkissoon[19][12],24,23,21,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Olivia Burnette[42],25,23,21,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Susannah Milan[43],26,23,21,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Becca Kufrin[6],27,1,22,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Lauren Burnham[8],25,2,22,5.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Kendall Long[9],26,3,22,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Tia Booth[11],26,4,22,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Bekah Martinez[9][13],22,5,22,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Seinne Fleming[9][15],27,6,22,3.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Jacqueline Trumbull[16],26,7,22,5.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Chelsea Roy[9][17][18],29,8,22,4.0,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Jenna Cooper[20][21],28,8,22,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Krystal Nielson[22],29,10,22,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Ashley Luebke[23],25,11,22,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Maquel Cooper[25],23,11,22,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Marikh Mathias[26],27,11,22,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Brittany Taylor[27],30,14,22,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Caroline Lunny[23][29],26,14,22,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Bibiana Julian[9][23],30,16,22,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Annaliese Puccini[31],32,17,22,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Lauren Schleyer[8],31,18,22,2.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"Jennifer ""Jenny"" Delaney[32]",25,19,22,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Lauren Griffin[20],26,19,22,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Valerie Biles,26,19,22,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"Alison ""Ali"" Harrington[8]",27,22,22,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Amber Wilkerson,29,22,22,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"Brianna ""Bri"" Amaranthus[35]",25,22,22,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Brittane Johnson,27,22,22,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Jessica Carroll[36],26,22,22,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Lauren Jarreau[37][38],33,22,22,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"D'Nysha ""Nysha"" Norris[27]",30,22,22,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Olivia Goethals[32],23,22,22,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Cassie Randolph[12],23,1,23,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Hannah Godwin[14],23,2,23,5.0,Yes,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Tayshia Adams[16],28,3,23,3.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Caelynn Miller-Keyes[17][18],23,4,23,3.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Kirpa Sudick[20],26,5,23,5.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Heather Martin[22],23,6,23,4.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Hannah Brown[14][23],24,7,23,1.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Katie Morton[24],26,8,23,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Demi Burnett[26],23,9,23,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Sydney Lotuaco[20],27,10,23,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Nicole Lopez-Alvar[27],25,11,23,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Onyeka Ehie[26],24,12,23,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Elyse Dehlbom[28],31,13,23,2.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Courtney Curtis[20],23,14,23,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Tracy Shapoff[31],31,14,23,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Brianna ""Bri"" Barnes[32]",24,16,23,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Catherine Agro[27],26,16,23,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Nina Bartula[17],30,16,23,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Caitlin Clemmens[34],25,16,23,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Alex Blumberg[20],29,20,23,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Angelique Sherman[36],28,20,23,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Annie Reardon[5][14],23,20,23,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Erika McNutt[20],25,20,23,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Alex Dillon[37],23,24,23,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Devin Gooden[39],23,24,23,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Erin Landry[26],28,24,23,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"Adrianne ""Jane"" Averbukh[40]",26,24,23,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Laura Pellerito[26],26,24,23,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Revian Chang[20],24,24,23,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Tahzjuan Hawkins[20],25,24,23,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Hannah Ann Sluss[10][20],23,1,24,5.0,Yes,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Madison Prewett[14][22],23,2,24,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Victoria Fuller[24],26,3,24,3.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Kelsey Weier[11],28,4,24,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kelley Flanagan[27],27,5,24,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Natasha Parker[29],31,6,24,6.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Mykenna Dorn[30],22,7,24,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sydney Hightower[32],24,7,24,4.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Tammy Ly[33],24,9,24,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Victoria Paul[12][34],27,10,24,2.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Lexi Buchanan[29],26,11,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Shiann Lewis[29],27,11,24,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Deandra Kanu[36][37],23,13,24,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Kiarra Norman[29],23,13,24,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Savannah Mullins[36],27,13,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Alayah Benavidez[38][36],24,13,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Alexa Caves[27],27,17,24,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Jasmine Nguyen[36],25,17,24,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Sarah Coffin[10],24,17,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Courtney Perry[40],26,20,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Lauren Jones[42],26,20,24,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Payton Moran[43],24,20,24,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Avonlea Elkins[36],27,23,24,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Eunice Cho[27],23,23,24,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Jade Gilliland[45],26,23,24,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Jenna Serrano[27],22,23,24,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Katrina Badowski[27],28,23,24,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kylie Ramos[42],26,23,24,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Maurissa Gunn[29][46],23,23,24,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Megan Hops[47],26,23,24,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Rachael Kirkconnell[15],24,1,25,4.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Michelle Young[17][18],27,2,25,3.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"Briana ""Bri"" Springs[19][20]",24,3,25,1.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Serena Pitt[22][23],23,4,25,2.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Pieper James[25],23,5,25,5.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Jessenia Cruz[20],27,6,25,6.0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Kit Keenan[7],21,7,25,4.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Abigail Heringer[9][25],25,8,25,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Chelsea Vaughn[26],29,9,25,0.0,Yes,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Serena Chew[27],24,9,25,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Katie Thurston[22][28],29,11,25,5.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
Brittany Galvin[17][30],23,12,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"Mearg ""Magi"" Tareke[31]",32,12,25,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Ryan Claytor[17],26,12,25,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"Meredith ""MJ"" Snyder[32]",23,15,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Catalina Morales[17],29,16,25,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Lauren Maddox[34],29,16,25,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Mariela ""Mari"" Pepin[6][35]",24,16,25,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Victoria Larson[36],27,16,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Anna Redman[37][38],24,20,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Kaili Anderson[38],26,20,25,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Khaylah Epps[40],28,20,25,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"Kimberly ""Kim"" Li[17]",28,20,25,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Sarah Trott[41],24,24,25,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
Alana Milne[20],26,25,25,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Illeana Pennetto[43],25,25,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Kristin Hopkins[44],27,25,25,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Marylynn Sienna[45],28,25,25,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Sydney Johnson[8],28,25,25,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Alicia Holloway[46],24,25,25,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Amber Andrews[45],30,25,25,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Carolyn Vallejo[45],30,25,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Casandra Suarez[45],25,25,25,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Corrinne Jones[48],22,25,25,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Emani Curl[49],25,25,25,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Kimberly Courneya[28],28,25,25,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Saneh Ste. Claire[50],25,25,25,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
